,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
198,2019-07-05,03:00:00,21.51,192.31,0,1,1,0,0
199,2019-07-05,03:30:00,21.41,129.54,0,1,1,0,0
200,2019-07-05,04:00:00,21.23,128.61,0,1,1,0,0
201,2019-07-05,04:30:00,20.93,128.49,0,1,1,0,0
202,2019-07-05,05:00:00,20.74,128.46,0,1,1,0,0
203,2019-07-05,05:30:00,20.99,128.47,0,1,1,0,0
204,2019-07-05,06:00:00,21.86,128.63,0,1,1,0,0
205,2019-07-05,06:30:00,23.07,128.5,0,1,1,0,0
206,2019-07-05,07:00:00,24.01,128.39,0,1,1,0,0
207,2019-07-05,07:30:00,24.67,128.29,0,1,1,0,0
208,2019-07-05,08:00:00,25.3,128.64,0,1,1,0,0
209,2019-07-05,08:30:00,25.97,128.36,0,1,1,0,0
210,2019-07-05,09:00:00,26.46,128.64,0,1,1,0,0
211,2019-07-05,09:30:00,27.0,129.27,0,1,1,0,0
212,2019-07-05,10:00:00,27.31,196.81,0,1,1,0,0
213,2019-07-05,10:30:00,27.5,196.81,0,1,1,0,0
214,2019-07-05,11:00:00,27.76,204.69,0,1,1,0,0
215,2019-07-05,11:30:00,28.31,197.2,0,1,1,0,0
216,2019-07-05,12:00:00,28.49,197.2,0,1,1,0,0
217,2019-07-05,12:30:00,28.57,196.81,0,1,1,0,0
218,2019-07-05,13:00:00,28.56,129.23,0,1,1,0,0
219,2019-07-05,13:30:00,28.71,196.81,0,1,1,0,0
220,2019-07-05,14:00:00,28.69,196.81,0,1,1,0,0
221,2019-07-05,14:30:00,28.7,196.81,0,1,1,0,0
222,2019-07-05,15:00:00,28.71,91.47,0,1,1,0,0
223,2019-07-05,15:30:00,28.46,271.42,0,1,1,0,0
224,2019-07-05,16:00:00,28.16,197.2,0,1,1,0,0
225,2019-07-05,16:30:00,27.97,196.81,0,1,1,0,0
226,2019-07-05,17:00:00,27.46,196.81,0,1,1,0,0
227,2019-07-05,17:30:00,26.93,196.81,0,1,1,0,0
228,2019-07-05,18:00:00,26.23,196.81,0,1,1,0,0
229,2019-07-05,18:30:00,25.57,196.81,0,1,1,0,0
230,2019-07-05,19:00:00,24.9,271.42,0,1,1,0,0
231,2019-07-05,19:30:00,24.44,271.42,0,1,1,0,0
232,2019-07-05,20:00:00,23.99,196.81,0,1,1,0,0
233,2019-07-05,20:30:00,23.7,196.81,0,1,1,0,0
234,2019-07-05,21:00:00,23.46,192.31,0,1,1,0,0
235,2019-07-05,21:30:00,23.3,192.31,0,1,1,0,0
